brand,store_name,address,suburb,postcode,latitude,longitude,zone
Mitre 10,K&B Mitre 10 Blackwood,191 Main Road,Blackwood,5051,-35.0159503,138.6175114,metro
Mitre 10,Brighton Mitre 10,419 Brighton Road,Brighton,5048,-35.014257,138.522515,metro
Mitre 10,K&B Mitre 10 Glenelg,599 Anzac Highway,Glenelg,5045,-34.9754861,138.5175507,metro
Mitre 10,Glynde Mitre 10,8 Glynburn Road,Hectorville,5073,-34.8898300,138.6568124,metro
Mitre 10,Barrow & Bench Mitre 10,321 Unley Road,Malvern,5061,-34.9620235,138.6086685,metro
Mitre 10,K&B Mitre 10 Norwood,2 Fullarton Road,Norwood,5067,-34.9163059,138.6232000,metro
Mitre 10,Reynella Mitre 10,Corner Main South Rd & Sherriffs Rd,Reynella,5161,-35.1042065,138.5275184,metro
Mitre 10,K&B Mitre 10 Trade Centre,90 Jervois Street,Torrensville,5031,-34.9139556,138.5609893,metro
Mitre 10,Virginia Mitre 10,Old Pt Wakefield Road & Thomas Street,Virginia,5120,-34.6714490,138.5626146,metro
Mitre 10,Balhannah Mitre 10,1/37 Onkaparinga Valley Road,Balhannah,5242,-34.9940071,138.8210019,fringe
Mitre 10,Gawler Mitre 10,7 Adelaide Road,Gawler South,5118,-34.6038592,138.7466290,fringe
Mitre 10,McLaren Vale Mitre 10,217 Main Road,McLaren Vale,5171,-35.2131932,138.5346258,fringe
Mitre 10,K&B Mitre 10 Mount Barker,1a Secker Road,Mount Barker,5251,-35.0752853,138.8743061,fringe
Mitre 10,Stirling Mitre 10,79 Mount Barker Road,Stirling,5152,-35.0063466,138.7190602,fringe
Total Tools,Total Tools Elizabeth,1 Phillip Highway,Elizabeth,5112,-34.7207828,138.6709612,metro
Total Tools,Total Tools Lonsdale,1 Sherriffs Road,Lonsdale,5160,-35.1059795,138.5004228,metro
Total Tools,Total Tools Marion,933A Marion Road,Mitchell Park,5043,-35.0108398,138.5587099,metro
Total Tools,Total Tools Thebarton,59 Port Road,Thebarton,5031,-34.9146231,138.5772864,metro
Total Tools,Total Tools Windsor Gardens,428 North East Road,Windsor Gardens,5087,-34.8644285,138.6474769,metro
Total Tools,Total Tools Wingfield,513 Grand Junction Road,Wingfield,5013,-34.8494469,138.5603696,metro
Total Tools,Total Tools Seaford,49 Seaford Road,Seaford Meadows,5169,-35.1801027,138.4850906,fringe
Total Tools,Total Tools Mount Barker,1/29 Mount Barker Road,Totness,5250,-35.0529420,138.8451464,fringe
Home Hardware,Blackwood Home Hardware,235 Main Road,Blackwood,5051,-35.0197862,138.6166747,metro
Home Hardware,Ashton Co-Op Society,197 Woods Hill Road,Ashton,5137,-34.9431991,138.7281646,fringe
