median_age,weekly_personal_income,weekly_household_income,weekly_rent,avg_household_size,population
41,770,1476,330,2.3,13122
43,954,2114,370,2.7,12963
43,820,1784,305,2.6,6825
40,655,1339,295,2.6,18454
38,738,1427,314,2.3,6499
48,804,1926,345,2.6,4726
42,836,1920,375,2.7,11048
45,1001,2052,380,2.3,8023
39,746,1421,345,2.2,16190
35,492,939,245,2.4,12446
29,827,1653,310,2.8,16215
48,769,1755,320,2.6,3604
48,925,1562,330,2.1,20522
40,721,1427,335,2.4,21601
42,837,2045,375,2.7,10784
42,656,1220,320,2.2,11050
34,674,1428,300,2.6,25578
40,910,2006,320,2.6,15842
42,697,1336,285,2.4,21662
37,818,1631,340,2.3,19076
45,896,1746,320,2.4,5175
45,858,1584,320,2.2,14807
38,598,1263,300,2.5,8080
38,697,1444,310,2.6,15094
40,651,1344,310,2.5,15681
48,836,1673,350,2.3,15191
38,861,1922,365,2.8,10211
41,671,1247,275,2.2,11589
48,831,2020,290,2.7,2729
44,957,2086,360,2.5,19066
41,678,1314,315,2.3,17496
35,778,1595,310,2.5,22587
37,774,1555,325,2.3,17022
36,579,1188,251,2.6,14047
38,791,1908,300,2.9,6505
40,704,1334,325,2.4,10286
41,668,1355,300,2.5,6875
37,962,2019,350,2.5,15785
43,747,1425,320,2.3,17501
40,698,1764,330,2.6,7608
41,954,1879,320,2.3,13515
35,824,1759,360,2.5,18188
40,738,1521,320,2.6,10629
40,868,1937,320,2.7,9017
39,787,1554,320,2.3,16531
44,812,1753,315,2.5,2920
40,933,1653,360,2.0,10849
37,726,1491,310,2.5,19269
36,847,1695,330,2.4,8897
40,827,1635,300,2.4,13452
35,675,1458,300,2.8,17816
39,612,1163,295,2.3,10138
38,967,1967,320,2.5,6484
43,793,1807,340,2.6,11911
42,778,1568,355,2.5,13864
43,903,2181,400,2.7,6042
45,776,1638,350,2.5,7344
42,999,2001,340,2.3,17650
44,977,1929,339,2.3,16635
43,840,1876,380,2.6,12609
43,829,1941,360,2.7,9601
43,984,2326,420,2.7,10328
41,978,2233,420,2.8,4469
36,859,1776,350,2.6,5327
40,674,1317,320,2.5,15923
31,726,1365,400,1.8,18202
33,896,1913,360,2.6,13855
47,978,2273,369,2.6,4896
30,599,1161,270,2.7,18313
36,794,1551,300,2.3,26480
43,749,1492,330,2.4,13161
36,460,827,225,2.4,10829
41,787,1657,330,2.6,19248
40,834,1818,350,2.6,16276
39,759,1563,340,2.4,16361
44,993,2297,410,2.7,18208
44,795,1691,320,2.5,9448
44,795,1674,320,2.5,10406
36,585,1384,300,2.9,18467
38,690,1469,320,2.6,10504
36,566,1297,270,2.6,19645
34,616,1255,280,2.7,18487
38,558,1080,262,2.4,7818
47,843,2277,300,2.9,2473
